Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011843, Process: motor_z, Log message: motor_z
Time: 1672011843, Process: command, Log message: no update
Time: 1672011843, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: inspection, Log message: resize screen
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x1672011844
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update1672011844
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_z, Log message: motor_z
Time: 1672011844, Process: command, Log message: no update
Time: 1672011844, Process: motor_x, Log message: motor_x
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_x, Log message: motor_x
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_x, Log message: motor_x
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_x, Log message: motor_x
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_x, Log message: motor_x
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_x, Log message: motor_x
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_x, Log message: motor_x
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: motor_x, Log message: motor_x1672011845
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_x, Log message: motor_x1672011845
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: motor_x, Log message: motor_x
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011845, Process: command, Log message: no update
Time: 1672011845, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_x, Log message: motor_x
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update1672011846
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update1672011846
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_x, Log message: motor_x
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_x, Log message: motor_x
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_x, Log message: motor_x1672011846
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_x, Log message: motor_x
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
